904;1775;134;0
546;1452;128;0
2057;646;135;0
1894;1543;126;0
442;682;128;0
580;1941;126;0
1809;2212;126;0
2254;1405;134;0
469;151;135;0
2192;389;128;0
1761;1225;130;0
1098;1108;135;0
2322;1939;134;0
1804;220;135;0
338;1674;131;0
1857;930;128;0
990;1423;130;0
1652;1835;129;0
2251;2196;132;0
1150;2120;126;0
973;141;128;0
1425;425;128;0
1232;219;126;0
1130;467;125;0
1462;2099;135;0
209;1413;132;0
725;798;126;0
906;2337;126;0
689;2179;129;0
1473;1052;130;0
2016;1821;132;0
1150;791;130;0
1580;1521;135;0
250;2235;130;0
2197;920;129;0
228;1962;133;0
818;518;128;0
155;439;132;0
165;1139;132;0
557;1098;128;0
1261;1320;127;0
2022;1175;132;0
1703;471;129;0
1262;1685;130;0
1594;715;134;0
1298;2337;131;0
814;1046;125;0
135;800;135;0
740;252;129;0
