500;500;500;1
500;1500;500;1
500;2500;500;1
500;3500;500;1
500;4500;500;1
500;5500;500;1
1500;500;500;1
1500;1500;500;1
1500;2500;500;1
1500;3500;500;1
1500;4500;500;1
1500;5500;500;1
2500;500;500;1
2500;1500;500;1
2500;2500;500;1
2500;3500;500;1
2500;4500;500;1
2500;5500;500;1
3500;500;500;1
3500;1500;500;1
3500;2500;500;1
3500;3500;500;1
3500;4500;500;1
3500;5500;500;1
4500;500;500;1
4500;1500;500;1
4500;2500;500;1
4500;3500;500;1
4500;4500;500;1
4500;5500;500;1
5500;500;500;1
5500;1500;500;1
5500;2500;500;1
5500;3500;500;1
5500;4500;500;1
5500;5500;500;1
