1563;607;128;0
1837;803;135;0
488;349;126;0
1146;924;133;0
2289;1946;135;0
506;1204;134;0
1987;2002;129;0
994;2271;131;0
1959;1205;129;0
293;1677;129;0
1125;197;132;0
1608;1621;127;0
1473;360;125;0
872;689;134;0
2285;1603;129;0
546;2207;131;0
2343;934;135;0
1283;569;131;0
834;396;125;0
595;622;133;0
178;2126;133;0
1157;1307;132;0
2318;436;129;0
1848;524;130;0
958;1121;131;0
1106;1641;129;0
173;1066;127;0
140;338;128;0
1623;1089;132;0
572;1628;128;0
1913;1555;132;0
1319;2152;128;0
1824;2304;135;0
2103;2272;134;0
2369;1334;125;0
403;906;132;0
892;1982;129;0
2254;163;132;0
1361;1883;135;0
744;1434;130;0
1807;242;125;0
210;628;125;0
669;881;130;0
2164;701;132;0
636;1922;128;0
1604;2143;132;0
1408;814;128;0
1330;1514;128;0
187;1330;126;0
