125;125;125;1
125;375;125;1
125;625;125;1
125;875;125;1
125;1125;125;1
125;1375;125;1
125;1625;125;1
125;1875;125;1
375;125;125;1
375;375;125;1
375;625;125;1
375;875;125;1
375;1125;125;1
375;1375;125;1
375;1625;125;1
375;1875;125;1
625;125;125;1
625;375;125;1
625;625;125;1
625;875;125;1
625;1125;125;1
625;1375;125;1
625;1625;125;1
625;1875;125;1
875;125;125;1
875;375;125;1
875;625;125;1
875;875;125;1
875;1125;125;1
875;1375;125;1
875;1625;125;1
875;1875;125;1
1125;125;125;1
1125;375;125;1
1125;625;125;1
1125;875;125;1
1125;1125;125;1
1125;1375;125;1
1125;1625;125;1
1125;1875;125;1
1375;125;125;1
1375;375;125;1
1375;625;125;1
1375;875;125;1
1375;1125;125;1
1375;1375;125;1
1375;1625;125;1
1375;1875;125;1
1625;125;125;1
1625;375;125;1
1625;625;125;1
1625;875;125;1
1625;1125;125;1
1625;1375;125;1
1625;1625;125;1
1625;1875;125;1
1875;125;125;1
1875;375;125;1
1875;625;125;1
1875;875;125;1
1875;1125;125;1
1875;1375;125;1
1875;1625;125;1
1875;1875;125;1
