300.03	50
300.09	47
300.14	50
300.19	48
300.25	49
300.3	47
300.35	48
300.41	49
300.46	44
300.51	47
300.57	47
300.62	45
300.67	44
300.73	45
300.78	48
300.83	49
300.89	48
300.94	48
300.99	50
301.05	54
301.1	46
301.15	49
301.21	47
301.26	47
301.31	49
301.37	50
301.42	49
301.47	49
301.53	49
301.58	51
301.64	47
301.69	47
301.74	46
301.8	51
301.85	46
301.9	49
301.96	44
302.01	46
302.06	50
302.12	47
302.17	45
302.22	51
302.28	45
302.33	46
302.38	48
302.44	49
302.49	52
302.54	50
302.6	50
302.65	44
302.7	50
302.76	50
302.81	48
302.86	49
302.92	48
302.97	46
303.02	45
303.08	47
303.13	49
303.18	50
303.24	45
303.29	46
303.34	48
303.4	49
303.45	48
303.5	48
303.56	48
303.61	51
303.66	48
303.72	49
303.77	49
303.83	48
303.88	47
303.93	51
303.99	53
304.04	48
304.09	49
304.15	48
304.2	52
304.25	46
304.31	45
304.36	46
304.41	51
304.47	49
304.52	46
304.57	48
304.63	47
304.68	48
304.73	49
304.79	50
304.84	49
304.89	47
304.95	49
305	48
305.05	47
305.11	50
305.16	47
305.21	51
305.27	49
305.32	48
305.37	47
305.43	44
305.48	46
305.53	49
305.59	48
305.64	46
305.69	47
305.75	51
305.8	48
305.85	49
305.91	45
305.96	48
306.01	46
306.07	44
306.12	50
306.17	48
306.23	47
306.28	49
306.34	50
306.39	46
306.44	46
306.5	49
306.55	51
306.6	47
306.66	49
306.71	50
306.76	50
306.82	51
306.87	48
306.92	47
306.98	46
307.03	50
307.08	49
307.14	46
307.19	46
307.24	51
307.3	48
307.35	51
307.4	49
307.46	47
307.51	49
307.56	48
307.62	48
307.67	51
307.72	47
307.78	46
307.83	49
307.88	51
307.94	51
307.99	48
308.04	49
308.1	45
308.15	48
308.2	49
308.26	48
308.31	48
308.36	48
308.42	45
308.47	48
308.52	46
308.58	49
308.63	51
308.68	46
308.74	48
308.79	51
308.84	49
308.9	49
308.95	50
309	49
309.06	49
309.11	48
309.16	47
309.22	47
309.27	49
309.32	50
309.38	48
309.43	51
309.49	48
309.54	50
309.59	47
309.65	45
309.7	48
309.75	49
309.81	48
309.86	51
309.91	48
309.97	44
310.02	50
310.07	53
310.13	49
310.18	48
310.23	48
310.29	49
310.34	48
310.39	45
310.45	48
310.5	47
310.55	45
310.61	47
310.66	47
310.71	46
310.77	47
310.82	45
310.87	52
310.93	48
310.98	48
311.03	51
311.09	48
311.14	46
311.19	49
311.25	49
311.3	49
311.35	44
311.41	47
311.46	46
311.51	48
311.57	47
311.62	53
311.67	45
311.73	44
311.78	49
311.83	46
311.89	48
311.94	48
311.99	49
312.05	51
312.1	49
312.15	50
312.21	46
312.26	46
312.31	49
312.37	48
312.42	45
312.47	51
312.53	48
312.58	47
312.63	48
312.69	50
312.74	51
312.79	48
312.85	50
312.9	54
312.95	49
313.01	45
313.06	45
313.11	49
313.17	46
313.22	49
313.27	49
313.33	50
313.38	46
313.43	48
313.49	49
313.54	49
313.59	49
313.65	47
313.7	51
313.75	52
313.81	50
313.86	51
313.91	49
313.97	46
314.02	51
314.07	45
314.13	50
314.18	47
314.23	46
314.29	47
314.34	56
314.39	49
314.45	46
314.5	48
314.56	52
314.61	49
314.66	48
314.72	48
314.77	51
314.82	47
314.88	47
314.93	50
314.98	45
315.04	49
315.09	49
315.14	44
315.2	45
315.25	47
315.3	46
315.36	49
315.41	50
315.46	53
315.52	46
315.57	49
315.62	45
315.68	47
315.73	47
315.78	50
315.84	51
315.89	51
315.94	46
316	48
316.05	49
316.1	46
316.16	50
316.21	47
316.26	49
316.32	51
316.37	48
316.42	49
316.48	46
316.53	51
316.58	52
316.64	51
316.69	47
316.74	51
316.8	49
316.85	51
316.9	47
316.96	52
317.01	48
317.06	47
317.12	49
317.17	50
317.22	47
317.28	47
317.33	52
317.38	53
317.44	48
317.49	50
317.54	51
317.6	48
317.65	48
317.7	47
317.76	47
317.81	52
317.86	49
317.92	49
317.97	50
318.02	47
318.08	46
318.13	50
318.18	45
318.24	52
318.29	51
318.34	45
318.4	52
318.45	51
318.5	48
318.56	47
318.61	46
318.66	47
318.72	50
318.77	45
318.82	47
318.88	48
318.93	49
318.98	45
319.04	44
